FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK
build.rs,9.120,0.760,12.124,4.571
ser.rs,186.701,0.849,220.706,21.505
lib.rs,0.684,0.171,4.208,3.765
dummy.rs,4.154,0.692,6.314,4.941
bound.rs,83.447,1.126,82.581,14.497
de.rs,393.514,1.003,411.777,27.336
attr.rs,290.365,0.892,4529.584,498.591
symbol.rs,1.574,0.098,78.500,40.000
mod.rs,0.818,0.273,3.026,1.714
receiver.rs,52.669,0.607,394.375,121.803
case.rs,26.659,0.635,44.801,19.600
ctxt.rs,4.550,0.350,34.125,26.000
check.rs,39.903,0.425,1287.412,192.915
respan.rs,4.286,0.857,5.000,0.200
ast.rs,20.821,0.631,33.023,3.633
fragment.rs,8.576,0.373,26.359,17.037
pretend.rs,22.262,0.795,28.239,7.538
try.rs,2.118,1.059,2.000,0.080
build.rs,9.000,0.600,17.469,13.333
ser.rs,58.560,0.610,109.202,43.287
lib.rs,0.029,0.029,1.000,0.040
assert.rs,16.627,0.723,24.542,13.143
token.rs,0.063,0.016,10.750,12.000
error.rs,5.778,0.361,26.976,22.400
de.rs,92.795,0.698,231.989,90.335
configure.rs,8.821,0.354,704.564,122.107
build.rs,4.286,1.429,3.000,0.120
lib.rs,0.026,0.026,1.000,0.040
build.rs,0.960,0.120,49.226,27.636
test_roundtrip.rs,2.684,0.895,3.000,0.120
test_ser.rs,53.012,0.914,58.000,0.325
test_serde_path.rs,11.034,0.690,16.000,0.640
mod.rs,0.257,0.043,6.000,0.240
test_remote.rs,0.196,0.007,715.510,105.962
mod.rs,9.796,0.816,12.049,3.349
expandtest.rs,0.250,0.125,4.048,6.400
test_annotations.rs,128.666,0.900,143.020,5.668
test_gen.rs,26.037,0.840,38.838,24.960
test_de.rs,126.059,0.985,128.000,0.508
test_ignored_any.rs,10.739,0.716,15.000,0.600
test_borrow.rs,19.490,0.975,20.154,5.818
test_de_error.rs,66.711,1.011,66.000,0.187
test_unstable.rs,0.333,0.333,1.000,0.040
test_value.rs,11.753,1.068,11.002,1.100
compiletest.rs,1.714,0.857,2.000,0.080
test_macros.rs,46.118,1.025,45.000,1.800
test_self.rs,17.907,1.053,17.102,4.800
test_identifier.rs,6.324,1.054,6.000,0.240
build.rs,21.106,0.906,138.253,62.805
lib.rs,0.006,0.006,1.000,0.040
utf8.rs,1.833,0.262,15.605,15.680
value.rs,44.354,0.169,19641.309,687.501
format.rs,4.000,0.500,8.023,2.286
seed.rs,1.714,0.429,4.000,0.160
mod.rs,48.416,0.406,328.277,117.474
impls.rs,148.620,1.034,458.542,149.573
ignored_any.rs,15.333,0.667,24.254,12.267
fmt.rs,0.000,0.000,650.000,100.000
mod.rs,7.904,0.180,44.473,11.000
impls.rs,44.593,0.743,72.671,36.507
macros.rs,0.073,0.073,1.000,0.040
ser.rs,64.890,0.283,13733.777,593.410
doc.rs,0.000,0.000,110.000,40.000
mod.rs,0.000,0.000,12.000,12.000
de.rs,286.438,0.468,23803.881,975.104
size_hint.rs,4.667,0.667,7.022,2.154
AVG,39.124,0.571,1041.601,65.621
MIN,0.000,0.000,1.000,0.040
MAX,393.514,1.429,23803.881,975.104
